tweet_id,timestamp,rating_numerator,rating_denominator,dog_breed,name,dog_stage,retweet_count,favorite_count
892177421306343426,2017-08-01 00:17:27+00:00,13.0,10.0,Chihuahua,Tilly,doggo,5301,29324
892177421306343426,2017-08-01 00:17:27+00:00,13.0,10.0,Chihuahua,Tilly,floofer,5301,29324
892177421306343426,2017-08-01 00:17:27+00:00,13.0,10.0,Chihuahua,Tilly,pupper,5301,29324
892177421306343426,2017-08-01 00:17:27+00:00,13.0,10.0,Chihuahua,Tilly,puppo,5301,29324
891815181378084864,2017-07-31 00:18:03+00:00,12.0,10.0,Chihuahua,Archie,doggo,3478,22038
891815181378084864,2017-07-31 00:18:03+00:00,12.0,10.0,Chihuahua,Archie,floofer,3478,22038
891815181378084864,2017-07-31 00:18:03+00:00,12.0,10.0,Chihuahua,Archie,pupper,3478,22038
891815181378084864,2017-07-31 00:18:03+00:00,12.0,10.0,Chihuahua,Archie,puppo,3478,22038
891327558926688256,2017-07-29 16:00:24+00:00,12.0,10.0,basset,Franklin,doggo,7757,35308
891327558926688256,2017-07-29 16:00:24+00:00,12.0,10.0,basset,Franklin,floofer,7757,35308
891327558926688256,2017-07-29 16:00:24+00:00,12.0,10.0,basset,Franklin,pupper,7757,35308
891327558926688256,2017-07-29 16:00:24+00:00,12.0,10.0,basset,Franklin,puppo,7757,35308
891087950875897856,2017-07-29 00:08:17+00:00,13.0,10.0,Chesapeake_Bay_retriever,,doggo,2600,17806
891087950875897856,2017-07-29 00:08:17+00:00,13.0,10.0,Chesapeake_Bay_retriever,,floofer,2600,17806
891087950875897856,2017-07-29 00:08:17+00:00,13.0,10.0,Chesapeake_Bay_retriever,,pupper,2600,17806
891087950875897856,2017-07-29 00:08:17+00:00,13.0,10.0,Chesapeake_Bay_retriever,,puppo,2600,17806
890971913173991426,2017-07-28 16:27:12+00:00,13.0,10.0,Appenzeller,Jax,doggo,1661,10359
890971913173991426,2017-07-28 16:27:12+00:00,13.0,10.0,Appenzeller,Jax,floofer,1661,10359
890971913173991426,2017-07-28 16:27:12+00:00,13.0,10.0,Appenzeller,Jax,pupper,1661,10359
890971913173991426,2017-07-28 16:27:12+00:00,13.0,10.0,Appenzeller,Jax,puppo,1661,10359
